timestamp,gaze2d_x,gaze2d_y,eyeleft_pupildiameter,eyeright_pupildiameter,workload,workload_2
2023-10-24 16:33:05.002657000,0.5645000000000002,0.5087000000000002,4.048000000000001,3.641000000000001,0,0.0
2023-10-24 16:33:05.022640000,0.5611000000000002,0.5061000000000002,4.051000000000001,3.617000000000001,0,0.0
2023-10-24 16:33:05.042730000,0.5579000000000002,0.5080000000000001,4.041000000000001,3.617000000000001,0,0.0
2023-10-24 16:33:05.062713000,0.5566000000000002,0.5047000000000001,4.038000000000001,3.580000000000001,0,0.0
2023-10-24 16:33:05.082802000,0.5538000000000002,0.5020000000000001,4.007000000000001,3.6030000000000006,0,0.0
2023-10-24 16:33:05.102786000,0.5482000000000001,0.4970000000000001,3.978000000000001,3.620000000000001,0,0.0
2023-10-24 16:33:05.122875000,0.5460000000000002,0.4978000000000001,3.962000000000001,3.612000000000001,0,0.0
2023-10-24 16:33:05.142858000,0.5422000000000001,0.4941000000000001,3.964000000000001,3.620000000000001,0,0.0
2023-10-24 16:33:05.162947000,0.5391000000000001,0.4931000000000001,3.972000000000001,3.6150000000000007,0,0.0
2023-10-24 16:33:05.182930999,0.5381000000000001,0.4927000000000001,3.9970000000000008,3.626000000000001,0,0.0
2023-10-24 16:33:05.203020000,0.5293000000000002,0.4857000000000001,3.968000000000001,3.950000000000001,0,0.0
2023-10-24 16:33:05.223003000,0.5314000000000002,0.4881000000000001,3.944000000000001,3.7960000000000007,0,0.0
2023-10-24 16:33:05.243092000,0.5340000000000001,0.4917000000000001,3.955000000000001,3.6830000000000007,0,0.0
2023-10-24 16:33:05.263076000,0.5336000000000002,0.4911000000000001,3.955000000000001,3.665000000000001,0,0.0
2023-10-24 16:33:05.283165000,0.5338000000000002,0.4904000000000001,3.954000000000001,3.654000000000001,0,0.0
2023-10-24 16:33:05.303148000,0.5325000000000002,0.4907000000000001,3.952000000000001,3.629000000000001,0,0.0
2023-10-24 16:33:05.323237000,0.5328000000000002,0.4900000000000001,3.946000000000001,3.6110000000000007,0,0.0
2023-10-24 16:33:05.343221000,0.5313000000000002,0.4908000000000002,3.942000000000001,3.6070000000000007,0,0.0
2023-10-24 16:33:05.363310000,0.5307000000000002,0.4905000000000001,3.940000000000001,3.616000000000001,0,0.0
2023-10-24 16:33:05.383293000,0.5308000000000002,0.4911000000000001,3.9290000000000007,3.605000000000001,0,0.0
2023-10-24 16:33:05.403382000,0.5295000000000002,0.4897000000000001,3.924000000000001,3.5990000000000006,0,0.0
2023-10-24 16:33:05.423366000,0.5290000000000001,0.4898000000000002,3.924000000000001,3.6190000000000007,0,0.0
2023-10-24 16:33:05.443454000,0.5290000000000001,0.4895000000000001,3.922000000000001,3.613000000000001,0,0.0
2023-10-24 16:33:05.463439000,0.5288000000000002,0.4899000000000001,3.926000000000001,3.604000000000001,0,0.0
2023-10-24 16:33:05.483527000,0.5281000000000001,0.4898000000000002,3.923000000000001,3.593000000000001,0,0.0
2023-10-24 16:33:05.503510000,0.5274000000000002,0.4896000000000001,3.902000000000001,3.592000000000001,0,0.0
2023-10-24 16:33:05.523600000,0.5254000000000002,0.4899000000000001,3.935000000000001,3.6020000000000008,0,0.0
2023-10-24 16:33:05.543583000,0.5226000000000002,0.4909000000000001,3.910000000000001,3.601000000000001,0,0.0
2023-10-24 16:33:05.563672000,0.5219000000000001,0.4925000000000001,3.920000000000001,3.5740000000000007,0,0.0
2023-10-24 16:33:05.583654999,0.5209000000000001,0.4891000000000001,3.927000000000001,3.589000000000001,0,0.0
2023-10-24 16:33:05.603745000,0.5080000000000001,0.4726000000000001,3.917000000000001,4.017000000000001,0,0.0
2023-10-24 16:33:05.623728000,0.5159000000000001,0.4736000000000001,3.914000000000001,3.7190000000000007,0,0.0
2023-10-24 16:33:05.643817000,0.5153000000000002,0.4765000000000001,3.918000000000001,3.720000000000001,0,0.0
2023-10-24 16:33:05.663801000,0.5149000000000001,0.4767000000000002,3.919000000000001,3.728000000000001,0,0.0
2023-10-24 16:33:05.683890000,0.5124000000000002,0.4731000000000001,3.915000000000001,3.8080000000000007,0,0.0
2023-10-24 16:33:05.703873000,0.5131000000000001,0.4743000000000001,3.908000000000001,3.770000000000001,0,0.0
2023-10-24 16:33:05.723962000,0.5143000000000002,0.4753000000000001,3.925000000000001,3.733000000000001,0,0.0
2023-10-24 16:33:05.743946000,0.5153000000000002,0.4761000000000001,3.925000000000001,3.700000000000001,0,0.0
2023-10-24 16:33:05.764035000,0.5136000000000002,0.4735000000000001,3.908000000000001,3.749000000000001,0,0.0
2023-10-24 16:33:05.784018000,0.5138000000000001,0.4713000000000001,3.8560000000000008,3.7720000000000007,0,0.0
2023-10-24 16:33:05.804107000,0.5155000000000002,0.4738000000000001,3.817000000000001,3.706000000000001,0,0.0
2023-10-24 16:33:05.824090000,0.5157000000000002,0.4742000000000002,3.838000000000001,3.7190000000000007,0,0.0
2023-10-24 16:33:05.844180000,0.5148000000000001,0.4735000000000001,3.839000000000001,3.740000000000001,0,0.0
2023-10-24 16:33:05.864164000,0.5151000000000001,0.4735000000000001,3.837000000000001,3.722000000000001,0,0.0
2023-10-24 16:33:05.884252000,0.5157000000000002,0.4745000000000001,3.8360000000000007,3.6990000000000007,0,0.0
2023-10-24 16:33:05.904236000,0.5157000000000002,0.4746000000000001,3.837000000000001,3.698000000000001,0,0.0
2023-10-24 16:33:05.924325000,0.5153000000000002,0.4743000000000001,3.833000000000001,3.702000000000001,0,0.0
