timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-24 17:26:47,1,0,0,0,0,none,0,0
2023-10-24 17:27:04,0,1,0,0,0,none,0,0
2023-10-24 17:27:20,0,1,0,0,0,none,0,0
2023-10-24 17:27:24,0,0,0,1,0,switches,2023-10-24 17:27:24,2023-10-24 17:30:07
2023-10-24 17:27:36,0,1,0,0,0,none,0,0
2023-10-24 17:27:52,0,1,0,0,0,none,0,0
2023-10-24 17:28:00,0,0,0,2,0,switches,2023-10-24 17:28:00,2023-10-24 17:31:07
2023-10-24 17:28:08,0,1,0,0,0,none,0,0
2023-10-24 17:28:24,0,1,0,0,0,none,0,0
2023-10-24 17:28:36,0,0,0,3,0,question,2023-10-24 17:29:33,2023-10-24 17:31:29
2023-10-24 17:28:45,0,1,0,0,0,none,0,0
2023-10-24 17:29:01,0,1,0,0,0,none,0,0
2023-10-24 17:29:12,0,0,0,4,0,question,2023-10-24 17:29:58,2023-10-24 17:30:46
2023-10-24 17:29:17,0,1,0,0,0,none,0,0
2023-10-24 17:29:34,0,-1,0,0,0,none,0,0
2023-10-24 17:29:39,0,0,0,0,3,question,2023-10-24 17:29:33,2023-10-24 17:31:29
2023-10-24 17:29:45,0,-1,0,0,0,none,0,0
2023-10-24 17:29:48,0,0,0,5,0,question,2023-10-24 17:30:40,2023-10-24 17:31:44
2023-10-24 17:30:08,0,-1,0,0,0,none,0,0
2023-10-24 17:30:11,0,1,0,0,0,none,0,0
2023-10-24 17:30:14,0,-1,0,0,0,none,0,0
2023-10-24 17:30:20,0,-1,0,0,0,none,0,0
2023-10-24 17:30:23,0,0,0,0,1,switches,2023-10-24 17:27:24,2023-10-24 17:30:07
2023-10-24 17:30:24,0,0,0,6,0,switches,2023-10-24 17:30:24,2023-10-24 17:33:21
2023-10-24 17:30:28,0,-1,0,0,0,none,0,0
2023-10-24 17:30:31,0,0,0,0,4,question,2023-10-24 17:29:58,2023-10-24 17:30:46
2023-10-24 17:30:36,0,-1,0,0,0,none,0,0
2023-10-24 17:30:55,0,0,0,0,5,question,2023-10-24 17:30:40,2023-10-24 17:31:44
2023-10-24 17:31:00,0,0,0,7,0,question,2023-10-24 17:31:51,2023-10-24 17:32:39
2023-10-24 17:31:04,0,1,0,0,0,none,0,0
2023-10-24 17:31:08,0,-1,0,0,0,none,0,0
2023-10-24 17:31:14,0,-1,0,0,0,none,0,0
2023-10-24 17:31:20,0,-1,0,0,0,none,0,0
2023-10-24 17:31:26,0,-1,0,0,0,none,0,0
2023-10-24 17:31:28,0,0,0,0,2,switches,2023-10-24 17:28:00,2023-10-24 17:31:07
2023-10-24 17:31:29,0,1,0,0,0,none,0,0
2023-10-24 17:31:36,0,0,0,8,0,switches,2023-10-24 17:31:36,2023-10-24 17:34:35
2023-10-24 17:31:48,-1,0,0,0,0,none,0,0
2023-10-24 17:31:48,0,1,0,0,0,none,0,0
