timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-10 14:53:52,1,0,0,0,0,none,0,0
2023-10-10 14:54:08,0,1,0,0,0,none,0,0
2023-10-10 14:54:24,0,1,0,0,0,none,0,0
2023-10-10 14:54:40,0,1,0,0,0,none,0,0
2023-10-10 14:54:56,0,1,0,0,0,none,0,0
2023-10-10 14:55:12,0,1,0,0,0,none,0,0
2023-10-10 14:55:28,0,1,0,0,0,none,0,0
2023-10-10 14:55:34,0,0,0,1,0,question,2023-10-10 14:56:18,2023-10-10 14:57:23
2023-10-10 14:55:44,0,1,0,0,0,none,0,0
2023-10-10 14:56:00,0,1,0,0,0,none,0,0
2023-10-10 14:56:16,0,1,0,0,0,none,0,0
2023-10-10 14:56:18,0,0,1,0,0,none,0,0
2023-10-10 14:56:31,0,0,0,0,1,question,2023-10-10 14:56:18,2023-10-10 14:57:23
2023-10-10 14:56:32,0,1,0,0,0,none,0,0
2023-10-10 14:56:54,0,1,0,0,0,none,0,0
2023-10-10 14:57:10,0,1,0,0,0,none,0,0
2023-10-10 14:57:15,0,0,1,0,0,none,0,0
2023-10-10 14:57:16,0,0,0,2,0,question,2023-10-10 14:57:50,2023-10-10 14:58:46
2023-10-10 14:57:26,0,1,0,0,0,none,0,0
2023-10-10 14:57:47,0,1,0,0,0,none,0,0
2023-10-10 14:58:08,0,1,0,0,0,none,0,0
2023-10-10 14:58:12,0,0,1,0,0,none,0,0
2023-10-10 14:58:21,0,0,0,0,2,question,2023-10-10 14:57:50,2023-10-10 14:58:46
2023-10-10 14:58:34,0,1,0,0,0,none,0,0
2023-10-10 14:58:50,0,1,0,0,0,none,0,0
2023-10-10 14:58:58,0,0,0,3,0,switches,2023-10-10 14:58:58,2023-10-10 15:00:12
2023-10-10 14:59:06,0,1,0,0,0,none,0,0
2023-10-10 14:59:48,0,1,0,0,0,none,0,0
2023-10-10 15:00:13,0,-1,0,0,0,none,0,0
2023-10-10 15:00:15,0,1,0,0,0,none,0,0
2023-10-10 15:00:19,0,0,0,0,3,switches,2023-10-10 14:58:58,2023-10-10 15:00:12
2023-10-10 15:00:43,0,0,0,4,0,question,2023-10-10 15:01:23,2023-10-10 15:02:40
2023-10-10 15:01:09,0,1,0,0,0,none,0,0
2023-10-10 15:01:31,0,1,0,0,0,none,0,0
2023-10-10 15:01:47,0,1,0,0,0,none,0,0
2023-10-10 15:01:49,0,0,1,0,0,none,0,0
2023-10-10 15:01:59,0,-1,0,0,0,none,0,0
2023-10-10 15:02:14,0,0,0,0,4,question,2023-10-10 15:01:23,2023-10-10 15:02:40
2023-10-10 15:02:16,0,-1,0,0,0,none,0,0
2023-10-10 15:02:28,0,0,0,5,0,question,2023-10-10 15:03:05,2023-10-10 15:04:14
2023-10-10 15:02:46,0,1,0,0,0,none,0,0
2023-10-10 15:03:10,0,1,0,0,0,none,0,0
2023-10-10 15:03:23,0,0,0,0,5,question,2023-10-10 15:03:05,2023-10-10 15:04:14
2023-10-10 15:03:53,-1,0,0,0,0,none,0,0
